"AgeRange","EducationLevel","LivingSituation","RentBudget","ImportantHousingFactors","AwarenessSemesterLeasing","LikelihoodSemesterHousing","OpennessSubleasing","NeedsMetCurrentHousing","ChallengesCurrentHousing","PreferredFeaturesSemesterLeasing","ImportanceCommunityEvents"
"18-22","Undergraduate","Off-campus apartment/house","$1001 - $1500","Safety, Amenities, Roommate preferences","Neutral","Likely","Neutral","Does not meet my needs","Safety concerns, Inadequate amenities, High cost, Distance from campus","Proximity to campus filter, Community events and networking opportunities, Price range options, Roommate matching service","Somewhat important"
"23-26","Undergraduate","Living with family","$500 - $1000","Proximity to campus, Amenities, Safety, Roommate preferences","Very aware","Neutral","Not open","Somewhat meets my needs","Inadequate amenities, Distance from campus, Safety concerns, High cost","Safety ratings, Proximity to campus filter","Not very important"
"18-22","Undergraduate","Living with family","$1001 - $1500","Proximity to campus","Not aware","Very likely","Not open","Barely meets my needs","Distance from campus","Price range options","Somewhat important"
"18-22","Graduate","On-campus housing","$1001 - $1500","Safety, Proximity to campus, Amenities","Neutral","Likely","Not open","Barely meets my needs","Distance from campus, High cost, Safety concerns, Inadequate amenities","Proximity to campus filter","Very important"
"23-26","Undergraduate","Off-campus apartment/house","$500 - $1000","Roommate preferences, Safety, Amenities","Neutral","Very unlikely","Not open","Mostly meets my needs","Safety concerns","Community events and networking opportunities, Price range options","Not very important"
"18-22","Graduate","Living with family","$500 - $1000","Roommate preferences, Amenities, Proximity to campus, Safety","Not aware","Very unlikely","Maybe open","Somewhat meets my needs","Safety concerns, Inadequate amenities","Community events and networking opportunities, Price range options, Safety ratings, Proximity to campus filter","Not very important"
"18-22","Undergraduate","Living with family","Over $1500","Amenities","Very aware","Unlikely","Maybe open","Mostly meets my needs","Safety concerns","Community events and networking opportunities, Roommate matching service, Price range options","Very important"
"18-22","Undergraduate","Off-campus apartment/house","$1001 - $1500","Amenities, Safety, Roommate preferences","Not aware","Very unlikely","Definitely open","Barely meets my needs","Inadequate amenities, Distance from campus","Roommate matching service, Safety ratings, Proximity to campus filter, Price range options, Community events and networking opportunities","Not important at all"
"18-22","Graduate","On-campus housing","$1001 - $1500","Safety, Proximity to campus, Amenities, Roommate preferences","Somewhat aware","Very unlikely","Neutral","Somewhat meets my needs","Distance from campus, High cost, Inadequate amenities, Safety concerns","Safety ratings","Not important at all"
"23-26","Undergraduate","On-campus housing","$1001 - $1500","Roommate preferences, Proximity to campus, Safety, Amenities","Neutral","Likely","Neutral","Barely meets my needs","Distance from campus, High cost, Safety concerns, Inadequate amenities","Roommate matching service, Price range options, Community events and networking opportunities, Safety ratings","Not important at all"
"18-22","Undergraduate","Off-campus apartment/house","$500 - $1000","Roommate preferences","Not aware","Unlikely","Neutral","Does not meet my needs","Safety concerns, Inadequate amenities, High cost, Distance from campus","Proximity to campus filter","Very important"
"18-22","Undergraduate","Living with family","$1001 - $1500","Proximity to campus, Roommate preferences, Amenities","Neutral","Likely","Not open","Somewhat meets my needs","High cost, Inadequate amenities, Safety concerns","Community events and networking opportunities, Roommate matching service, Proximity to campus filter, Price range options","Not important at all"
"18-22","Graduate","Off-campus apartment/house","$500 - $1000","Proximity to campus, Safety, Amenities, Roommate preferences","Somewhat aware","Very unlikely","Not open","Does not meet my needs","Safety concerns, Inadequate amenities","Safety ratings, Proximity to campus filter, Community events and networking opportunities","Not very important"
"23-26","Undergraduate","Off-campus apartment/house","Over $1500","Safety, Roommate preferences, Proximity to campus","Very aware","Very unlikely","Neutral","Somewhat meets my needs","Inadequate amenities, High cost, Safety concerns, Distance from campus","Proximity to campus filter","Very important"
"23-26","Undergraduate","Off-campus apartment/house","Less than $500","Proximity to campus, Safety, Roommate preferences","Neutral","Neutral","Neutral","Barely meets my needs","Inadequate amenities, Safety concerns, High cost, Distance from campus","Safety ratings, Price range options, Community events and networking opportunities, Roommate matching service, Proximity to campus filter","Very important"
"23-26","Undergraduate","Living with family","Over $1500","Safety","Very aware","Neutral","Not open","Barely meets my needs","High cost, Distance from campus, Safety concerns, Inadequate amenities","Proximity to campus filter, Community events and networking opportunities, Price range options, Safety ratings, Roommate matching service","Very important"
"23-26","Graduate","On-campus housing","Over $1500","Roommate preferences, Amenities","Not aware","Very likely","Neutral","Somewhat meets my needs","Distance from campus, High cost, Safety concerns","Roommate matching service, Community events and networking opportunities, Price range options","Not important at all"
"23-26","Undergraduate","Off-campus apartment/house","$1001 - $1500","Proximity to campus, Amenities, Safety, Roommate preferences","Very aware","Very likely","Definitely open","Somewhat meets my needs","Distance from campus, Inadequate amenities, Safety concerns","Safety ratings","Very important"
"18-22","Undergraduate","Off-campus apartment/house","$500 - $1000","Amenities, Safety, Roommate preferences, Proximity to campus","Neutral","Likely","Not open","Barely meets my needs","High cost, Inadequate amenities, Distance from campus","Roommate matching service, Price range options, Proximity to campus filter, Safety ratings","Not very important"
"23-26","Graduate","Living with family","$500 - $1000","Proximity to campus, Amenities","Not aware","Very unlikely","Neutral","Somewhat meets my needs","Distance from campus","Proximity to campus filter, Community events and networking opportunities, Safety ratings","Somewhat important"
"23-26","Undergraduate","On-campus housing","Less than $500","Amenities, Proximity to campus, Roommate preferences","Neutral","Very unlikely","Neutral","Mostly meets my needs","Inadequate amenities, High cost, Distance from campus, Safety concerns","Proximity to campus filter, Roommate matching service, Community events and networking opportunities","Very important"
"23-26","Graduate","Off-campus apartment/house","$1001 - $1500","Safety","Neutral","Very unlikely","Not open","Somewhat meets my needs","High cost, Distance from campus","Community events and networking opportunities, Price range options, Roommate matching service, Safety ratings, Proximity to campus filter","Not important at all"
"23-26","Undergraduate","Living with family","Less than $500","Safety","Very aware","Very likely","Neutral","Does not meet my needs","Inadequate amenities, Distance from campus","Community events and networking opportunities, Safety ratings, Price range options","Very important"
"18-22","Undergraduate","Off-campus apartment/house","Over $1500","Roommate preferences, Proximity to campus","Not aware","Likely","Definitely open","Somewhat meets my needs","Safety concerns, High cost","Price range options, Proximity to campus filter, Community events and networking opportunities","Not very important"
"18-22","Undergraduate","Off-campus apartment/house","$1001 - $1500","Proximity to campus, Amenities, Roommate preferences","Neutral","Very unlikely","Definitely open","Barely meets my needs","Inadequate amenities, Distance from campus, High cost","Safety ratings, Community events and networking opportunities, Roommate matching service, Proximity to campus filter, Price range options","Not very important"
